#{"t_start": 1682366685.5042574, "env_id": null}
r,l,t,current_date,agent_id
98.66334,34,74.652567,2017-06-09,19
176.16664,31,75.546136,2017-07-01,4
198.08334,27,75.546275,2018-03-13,13
143.70665,36,75.54631,2017-11-30,14
211.57999,29,75.546332,2017-05-27,15
132.36,30,76.411695,2018-08-22,9
261.57333,39,76.411827,2018-08-22,27
165.42,25,77.292187,2018-06-12,12
199.35333,29,77.292275,2018-02-25,16
130.50667,37,79.790406,2018-01-18,2
102.526665,22,79.790507,2017-11-20,7
109.20667,23,81.370655,2018-06-20,18
153.73001,33,83.438463,2018-04-14,5
110.95669,38,83.43856,2017-09-08,8
162.34666,23,83.43858,2018-07-17,11
193.88666,29,83.438597,2017-12-10,26
205.90666,37,84.734462,2018-02-01,1
165.97333,29,84.73455,2017-07-12,24
271.24664,35,85.330945,2017-11-04,22
154.19333,29,85.331044,2017-06-02,29
173.76996,36,87.228692,2018-05-05,0
196.75331,35,88.56729,2018-08-18,25
163.58,47,89.44444,2017-09-13,28
121.97667,25,89.444563,2018-06-20,31
146.13667,30,90.316112,2017-10-20,10
88.40333,23,90.31626,2018-06-19,20
236.78667,32,90.316296,2017-12-23,21
149.10666,25,91.693153,2018-03-14,23
155.74,24,92.514557,2018-07-02,15
168.31332,25,93.285167,2018-07-14,14
185.22998,37,93.285252,2017-10-20,17
173.62334,31,94.17678,2018-08-17,6
217.93,27,95.075584,2018-05-29,4
121.86333,25,95.075702,2017-06-16,16
143.74661,28,95.075719,2018-07-14,19
159.27669,34,96.394181,2018-05-14,30
152.12666,24,97.089819,2017-11-11,2
247.16335,35,97.089919,2018-06-06,3
182.71335,21,98.486485,2018-02-10,5
187.25331,26,98.486581,2018-01-21,7
171.07664,32,99.488937,2017-12-05,9
170.95003,33,99.489052,2018-08-21,13
173.78,25,99.489069,2018-06-25,18
206.78331,34,101.167835,2018-02-17,12
172.85332,26,101.939829,2018-01-13,26
246.64333,26,103.208949,2018-03-23,1
150.30667,23,105.082119,2017-05-29,25
100.259995,24,106.970689,2017-08-16,10
176.52997,34,106.970778,2018-01-28,11
206.46332,27,108.433328,2018-02-18,31
239.5433,34,108.980786,2017-07-16,29
138.16,25,109.75466,2017-08-09,15
130.77333,26,109.754927,2017-12-21,23
186.36667,23,110.729881,2018-06-24,16
119.88668,24,111.566902,2017-06-07,19
52.40334,50,111.567015,2017-09-06,27
166.89001,22,111.567037,2017-12-30,30
204.55997,39,112.724278,2017-07-15,22
231.34663,37,113.534653,2018-02-16,0
144.17667,33,113.534743,2018-04-25,21
147.32333,41,113.53476,2017-09-21,24
199.59,30,114.27711,2018-05-20,17
178.97331,31,115.81779,2018-05-04,6
179.45003,28,116.674029,2017-07-20,2
178.27664,25,116.674136,2018-06-07,13
149.26334,38,116.674154,2018-02-26,28
170.64665,32,117.724359,2018-08-07,4
137.29333,27,117.724528,2018-05-27,7
215.20332,34,117.724546,2018-01-12,14
146.48999,21,118.39971,2018-02-23,1
160.59999,51,119.674462,2018-03-07,8
126.08668,42,120.427768,2017-09-14,20
149.53334,35,121.893188,2017-06-23,3
148.33333,29,121.893283,2017-06-14,12
134.38667,18,121.893299,2018-06-18,31
154.83,24,122.834127,2018-06-19,25
221.85332,35,123.51526,2017-08-02,5
154.92332,35,124.265854,2017-06-07,9
207.86334,41,127.713147,2017-08-29,18
126.496666,26,127.713243,2017-07-01,29
280.56,32,129.688897,2018-07-08,10
173.00667,28,129.689013,2018-04-14,23
173.23666,24,130.393284,2017-12-13,24
133.75668,41,130.39337,2018-01-17,26
178.19664,34,131.126523,2017-11-27,11
172.79999,26,131.12661,2018-03-25,22
130.43333,32,133.330701,2018-07-01,16
158.74,24,134.034547,2018-06-29,4
209.64,24,134.89428,2017-07-19,1
124.200005,35,134.894376,2017-09-19,15
221.99664,33,134.894392,2018-04-12,30
202.84334,34,135.73293,2017-08-20,27
202.66333,21,136.485898,2018-01-02,12
174.81332,28,136.48599,2018-04-03,28
204.43332,29,137.472677,2018-06-13,2
135.35,30,137.472785,2018-07-28,6
186.21667,26,138.324045,2017-10-01,8
180.85663,30,138.324189,2017-06-20,13
186.07,33,138.324223,2017-12-15,17
177.26004,39,139.416418,2017-11-13,19
130.3167,32,140.059218,2017-09-21,14
151.90999,38,140.797231,2018-03-06,21
177.74332,26,140.797328,2018-05-04,25
143.94666,28,141.562171,2017-08-25,3
157.93333,36,143.152854,2018-06-22,7
119.63,32,143.152943,2018-02-13,20
177.44333,30,144.436403,2017-11-17,5
161.68999,33,147.211978,2018-07-01,9
187.15666,36,147.212102,2018-04-10,31
176.41,23,147.901231,2017-10-19,11
193.46666,28,147.90132,2017-08-02,18
96.25333,49,148.546774,2017-09-05,0
155.44662,29,148.54692,2018-03-14,29
242.45667,27,152.970887,2017-10-15,4
177.16,33,152.97105,2017-11-22,23
192.67331,21,153.977505,2017-06-25,19
138.87999,33,153.977603,2017-08-09,24
185.14668,26,153.977622,2018-08-04,27
224.65999,36,155.531609,2018-07-12,10
193.55667,34,155.531727,2017-08-15,22
208.66,27,155.531748,2017-07-20,28
193.20999,27,156.420588,2017-08-26,2
186.29669,28,156.420685,2018-04-07,12
209.53667,32,156.420701,2018-07-15,16
176.22668,28,157.413945,2018-04-07,6
176.02666,28,158.200024,2018-03-27,17
161.03668,34,159.420413,2017-06-07,1
152.63333,40,159.420539,2017-10-25,26
152.29332,19,160.983399,2017-12-30,9
222.30331,26,161.993993,2018-08-18,7
148.80002,33,161.994082,2018-08-10,13
229.96664,34,162.650273,2017-07-31,8
231.39333,32,163.380119,2017-10-11,14
170.23,39,163.380208,2017-08-28,15
141.73999,31,163.38031,2017-06-08,21
205.40999,40,164.157594,2017-12-15,30
182.35333,33,164.796255,2017-06-26,25
179.91667,24,166.155747,2017-08-01,0
207.32999,32,166.155871,2017-07-19,20
235.73003,36,167.644353,2018-08-10,3
184.49,32,167.644442,2018-04-23,5
252.55667,29,169.202325,2018-04-06,11
184.02335,29,169.821702,2017-06-09,29
290.37997,34,171.733878,2018-04-08,31
134.26668,28,173.814623,2018-02-08,23
226.73666,25,173.814763,2018-06-10,28
240.18665,25,174.679628,2018-01-21,16
203.25002,20,175.954322,2018-03-29,13
187.95332,29,176.892609,2018-08-18,10
231.91003,40,176.892697,2017-09-20,18
178.23666,31,176.892714,2018-05-03,24
191.30334,31,176.892725,2018-06-30,27
132.17668,29,177.731823,2017-08-14,2
144.32333,33,177.731916,2017-12-11,4
170.02666,20,177.731932,2017-11-22,15
265.59665,30,178.640135,2018-03-30,12
254.61331,28,178.640265,2017-07-18,17
133.69,23,179.263544,2018-01-06,8
231.97002,32,180.883445,2018-08-19,6
184.80331,29,180.883533,2017-06-15,26
157.87665,38,182.159795,2017-09-22,19
119.05333,22,182.159912,2017-11-19,20
115.65001,29,183.881894,2018-01-10,14
204.26665,39,183.882003,2017-07-09,22
220.55669,26,184.876988,2017-11-26,0
217.78336,24,184.877103,2017-12-21,3
193.03,33,184.877122,2018-08-01,9
213.67664,30,184.877136,2018-02-02,21
181.14665,23,186.181012,2017-12-31,29
225.25,26,187.677098,2018-06-09,11
118.96002,33,188.421235,2017-06-13,25
204.39,42,189.720776,2018-03-25,1
210.57668,39,189.720892,2018-06-15,7
123.420006,34,191.788801,2017-06-14,5
172.28331,25,191.788925,2018-08-01,28
171.87332,39,191.788951,2018-02-28,30
227.49667,28,194.284624,2018-07-05,16
143.90668,29,194.284738,2018-05-15,23
177.19,25,196.1285,2017-07-31,8
203.46332,28,196.128594,2018-06-27,18
206.69667,27,196.86527,2018-06-17,12
177.20332,28,196.865363,2017-07-01,15
202.21336,29,196.865382,2017-10-18,24
242.65002,36,196.865399,2017-11-04,31
203.13666,31,197.707649,2017-06-28,13
151.87665,28,197.707748,2018-06-10,17
162.85667,25,197.707768,2017-10-20,26
182.36664,30,198.570582,2018-06-13,2
180.39668,31,199.593894,2018-05-06,4
119.91668,33,200.382205,2018-01-11,10
232.67,29,201.293495,2018-08-19,6
245.07333,36,202.484548,2017-07-10,27
220.93996,30,203.298026,2018-03-16,19
185.40329,27,204.191882,2018-05-18,9
157.60667,27,205.561193,2018-01-02,29
163.58664,32,207.155972,2017-08-17,14
227.45668,31,207.15615,2018-04-21,21
147.68336,32,207.69823,2017-06-11,0
141.24333,27,209.097812,2017-10-14,1
156.72331,38,209.097967,2017-06-08,20
241.44334,35,209.097985,2017-06-22,22
110.066666,29,209.097997,2018-03-19,25
224.10336,25,209.911885,2017-07-20,5
169.63669,25,209.912009,2017-09-16,28
189.70667,36,210.553674,2017-11-01,3
164.39667,36,213.206721,2018-03-22,11
171.57668,24,213.907708,2018-02-24,8
204.77336,31,213.9078,2018-05-24,30
219.11333,28,214.79537,2018-02-03,23
185.43666,24,215.693901,2018-05-08,17
151.29001,25,215.693992,2018-05-19,31
233.30666,26,216.597872,2017-12-17,15
209.06665,26,217.43932,2018-05-04,13
124.81667,26,217.43949,2017-12-20,26
209.95001,25,218.45113,2018-04-03,4
167.15997,27,219.039492,2018-01-16,2
193.07668,41,219.797,2017-09-25,7
234.68668,34,219.797095,2017-10-30,16
173.74332,27,220.768,2018-06-21,10
275.24335,31,220.768095,2018-03-25,24
173.87666,24,220.768115,2018-02-24,27
171.80667,33,221.791931,2017-06-08,12
167.41664,25,222.62971,2018-07-17,9
114.83333,31,224.10497,2018-03-08,6
197.74333,28,224.105084,2017-07-26,19
239.31334,26,225.947209,2017-06-13,14
215.32663,40,225.947296,2017-10-31,18
106.46003,23,226.698496,2018-04-28,28
199.34334,27,228.724672,2018-05-13,20
170.96002,27,228.724775,2018-06-02,22
221.42998,29,229.995924,2017-11-25,1
81.456665,35,230.878043,2018-04-23,29
211.33667,29,231.695081,2017-07-29,3
121.76666,34,231.695174,2018-05-04,21
178.10664,32,233.015483,2017-12-16,5
175.60999,27,233.921397,2018-01-14,8
176.79999,26,233.921518,2018-05-17,23
189.69666,25,233.92155,2018-04-14,31
213.22664,30,235.294434,2018-05-01,11
150.96999,29,236.614807,2017-07-28,17
181.90666,39,237.547636,2018-03-09,25
140.74666,23,238.504577,2017-05-31,12
212.95,30,238.504752,2018-06-01,15
150.68666,26,239.122296,2017-05-31,27
184.82664,44,239.915204,2017-09-01,0
187.45665,27,239.915294,2018-01-27,10
160.06667,31,239.91531,2017-10-30,13
184.80333,29,240.73893,2018-06-06,7
208.94664,32,241.753048,2018-07-07,4
181.78668,29,241.753146,2017-12-10,24
198.87996,33,241.753162,2018-04-22,26
214.58333,20,243.892254,2018-07-10,20
243.46332,34,244.488901,2017-08-20,16
228.41331,42,245.233351,2017-05-29,30
169.35666,30,246.008539,2018-05-05,6
228.5733,30,248.13097,2018-05-13,14
201.62666,27,248.857331,2017-10-07,22
182.15665,30,248.857451,2017-09-16,28
235.01332,38,250.197669,2017-09-21,9
169.36334,44,251.114097,2017-09-19,2
248.01666,27,251.114194,2018-01-27,29
172.90334,35,251.807474,2017-10-30,18
170.78664,30,252.750338,2018-05-04,1
182.21333,27,253.905498,2017-10-02,8
242.24998,23,255.555162,2018-07-17,15
89.09668,43,255.555276,2017-09-18,19
233.53001,29,255.555303,2018-05-13,31
228.83,26,256.298567,2018-04-07,17
222.55333,30,257.875254,2017-11-24,11
165.92,32,257.875402,2017-08-27,23
145.30669,25,257.875422,2017-11-22,27
153.27002,34,258.741951,2018-02-09,5
256.9067,28,258.742047,2018-02-25,25
194.61998,37,259.456562,2018-06-03,3
242.27669,26,263.031135,2018-07-25,20
145.86667,42,263.031225,2017-09-13,21
195.37334,29,263.031241,2017-09-17,26
162.20332,24,263.031253,2018-03-03,30
250.78,32,263.774485,2017-07-15,13
163.12334,25,264.512956,2017-12-16,6
134.5433,34,265.323078,2017-11-01,10
141.80333,33,266.330173,2018-08-26,24
168.70998,38,266.879166,2017-05-28,12
242.49666,36,267.555277,2017-11-15,7
198.97331,39,268.963713,2017-09-20,0
210.85333,25,269.710724,2018-07-18,29
172.52666,35,270.457573,2017-06-28,16
216.70999,29,270.457693,2018-04-27,28
163.09665,32,272.108518,2018-08-06,14
160.90335,21,273.481471,2018-01-02,27
175.01335,27,274.289302,2018-02-04,8
104.006676,34,274.289422,2017-09-17,22
188.50333,25,274.289444,2017-11-19,31
228.40329,30,275.197128,2018-08-15,1
195.58333,32,275.197219,2017-10-20,2
192.31667,31,275.197235,2017-12-23,18
178.29999,27,275.884342,2017-07-30,19
199.65002,36,277.1482,2018-05-23,9
250.70667,28,277.148312,2017-08-13,17
191.40334,49,278.102762,2018-08-29,4
198.61665,26,278.102861,2017-08-01,5
250.04666,28,279.676075,2018-05-17,25
243.18333,35,281.711893,2018-08-21,15
153.15332,25,281.712007,2018-07-17,20
215.11665,21,281.712034,2018-06-26,24
194.76332,34,283.170729,2017-10-09,11
168.03667,34,283.17083,2018-08-28,23
158.03,26,283.994367,2018-01-13,6
143.2,28,283.994457,2017-06-03,26
159.56667,28,283.994472,2017-10-18,30
239.75667,31,286.018115,2017-12-06,21
149.62,37,286.993865,2017-09-19,3
146.70001,17,286.993961,2017-12-29,22
211.17,29,288.990587,2017-10-15,7
173.83002,32,288.990677,2018-05-10,10
250.87332,35,289.724437,2018-05-25,13
270.45667,24,291.151683,2018-03-12,27
176.36,22,291.714437,2017-11-11,19
168.49666,24,292.546791,2018-03-29,2
139.06668,35,292.546906,2017-09-04,12
215.44998,30,292.546926,2018-02-02,16
173.50331,34,293.976496,2018-08-31,0
153.94002,32,295.52996,2018-05-03,14
207.00334,22,295.530078,2018-08-02,25
230.84001,35,295.530101,2017-06-24,29
171.92665,30,296.221709,2017-08-25,8
186.89333,28,297.657673,2018-03-19,17
163.07333,32,297.65777,2018-05-23,31
204.08665,28,298.209106,2017-11-11,5
190.97,24,299.013584,2017-10-08,15
179.34332,25,299.931899,2018-03-13,24
187.83331,24,300.824379,2018-06-19,11
148.17334,34,302.699302,2018-01-12,4
208.39001,23,302.699389,2018-04-04,21
213.17668,28,303.943137,2017-10-26,6
253.46332,37,303.94323,2017-06-28,9
184.76665,46,303.943249,2017-09-02,28
211.45332,29,304.633386,2017-11-11,30
151.34,23,305.916882,2017-06-26,13
156.08667,43,305.916974,2018-01-30,18
194.02998,25,306.752206,2018-01-04,10
176.31331,28,306.752307,2018-06-18,22
178.58002,45,307.634884,2018-05-23,1
181.36334,37,308.222337,2017-08-27,20
226.10666,31,308.964603,2017-06-06,3
216.71,35,308.964691,2018-03-18,26
224.63002,29,309.537832,2017-06-27,7
241.92996,25,310.20922,2018-01-07,16
213.94666,26,311.127258,2018-07-02,2
187.92667,22,311.127376,2018-03-29,14
155.22,29,311.902756,2018-05-09,27
196.84666,26,312.609962,2017-12-22,0
158.10666,22,315.529843,2018-04-01,11
134.61,34,316.243736,2018-01-24,12
209.91,29,317.686842,2018-06-17,31
201.00668,23,318.381509,2017-09-23,21
251.10002,34,318.943079,2017-06-21,29
174.37666,34,319.978026,2018-01-27,8
169.09,32,319.980228,2018-07-28,17
223.60333,22,319.980258,2017-10-09,30
210.94333,31,320.873827,2018-04-24,15
194.91328,25,321.739558,2017-07-21,9
116.973335,54,321.739686,2017-09-19,23
165.66333,35,322.928837,2017-09-12,5
245.99998,34,323.812279,2018-06-23,24
215.97333,24,324.660043,2018-07-10,1
150.21332,46,324.660165,2017-09-10,19
176.51,41,324.660256,2017-11-01,25
172.23,29,324.660268,2017-12-08,28
172.67003,32,325.221366,2017-09-29,4
173.12332,24,325.920611,2017-07-26,3
242.60002,27,325.920707,2017-06-25,22
235.19002,34,327.783723,2017-05-28,6
123.763336,27,327.783851,2017-10-16,26
156.74998,27,328.531429,2017-10-09,7
198.73332,28,330.552197,2018-05-24,14
235.26,36,331.416528,2017-11-12,13
220.34998,30,332.229328,2017-12-03,2
204.76999,29,333.12306,2018-04-17,0
221.53001,25,333.732368,2017-12-05,11
110.54001,39,333.73247,2017-11-06,18
192.12665,23,334.349191,2017-11-18,31
117.61669,40,335.157575,2018-03-07,10
211.32664,39,335.738022,2017-08-23,20
237.28,37,336.709299,2017-09-15,16
217.10333,25,336.709389,2018-03-18,21
191.03,21,337.949841,2018-03-29,5
160.57333,26,339.031912,2018-05-17,30
122.416664,25,339.815713,2018-05-07,9
190.64667,39,339.81588,2017-08-18,27
215.4767,34,341.076904,2017-12-04,12
201.58333,28,341.076997,2018-04-01,15
184.20998,31,342.467588,2018-04-16,17
236.37337,32,342.467677,2017-07-12,29
206.68002,30,343.369061,2018-06-19,23
183.91002,28,344.824541,2018-02-25,28
258.47995,28,345.404448,2017-08-02,4
265.1433,28,346.38073,2018-06-24,3
186.56331,37,347.133122,2017-08-01,8
145.90999,32,347.952916,2018-04-30,1
270.59332,30,350.045044,2018-03-21,26
200.78333,25,350.65264,2017-12-07,2
152.25996,35,351.328365,2017-06-07,22
121.47999,37,351.328465,2017-08-24,25
177.26999,33,352.189637,2017-12-22,6
236.87334,30,353.040901,2018-05-26,14
186.50003,27,353.590855,2017-07-05,18
231.6267,35,354.421963,2018-01-01,7
215.02332,27,354.422086,2017-07-04,31
193.88332,29,355.279107,2017-06-09,11
195.16663,32,355.279202,2018-05-07,13
200.91333,44,355.904185,2018-01-30,24
169.86,34,357.997144,2018-08-23,0
205.74,29,357.997238,2018-08-11,16
222.51665,30,357.997254,2017-08-03,20
147.73999,18,357.997266,2018-03-26,28
150.85335,26,358.954592,2018-06-22,27
126.38335,28,360.117054,2017-06-19,9
209.42001,32,361.320575,2017-07-11,5
215.20999,36,362.796511,2018-02-21,21
180.65671,24,363.835683,2018-03-27,3
191.44333,31,363.835824,2018-01-21,12
188.36002,34,363.835879,2018-08-29,30
215.09998,27,365.108632,2017-06-23,4
190.1733,42,365.900927,2018-02-07,10
248.6233,18,365.901024,2017-10-21,14
245.72662,27,366.89194,2018-05-24,8
211.34335,28,368.297098,2018-04-07,1
103.47669,60,368.297843,2017-09-07,19
193.94333,23,368.297878,2017-11-20,25
214.38,35,368.297893,2018-02-11,29
182.46999,35,369.064153,2018-02-28,23
242.44998,24,369.973734,2018-07-11,6
162.12668,40,370.581186,2017-09-28,15
289.73004,39,371.295025,2017-10-17,17
248.7933,27,373.073169,2017-09-16,18
235.65332,32,374.032962,2017-07-28,2
195.05,17,374.033052,2017-12-26,5
181.08334,26,374.033068,2018-04-04,13
257.90997,33,374.03308,2018-06-29,26
159.84332,27,374.646071,2017-09-21,11
220.99002,24,375.47636,2018-01-02,28
154.69333,34,376.209917,2017-09-12,22
226.42667,28,376.211686,2017-06-18,24
200.0533,25,377.024821,2018-07-17,27
255.79665,28,380.179629,2018-04-27,9
213.21,26,381.809171,2018-02-16,21
180.87335,25,381.809275,2018-08-21,30
222.56996,26,382.541769,2017-07-18,3
200.98665,26,382.541899,2018-03-26,12
186.86665,39,382.541933,2018-01-10,31
138.99333,41,384.11689,2018-04-25,7
165.40334,37,384.783297,2017-08-17,0
157.41667,28,386.044834,2017-10-09,14
183.46335,30,386.9273,2018-03-05,4
202.82332,26,388.430764,2018-03-20,6
196.19667,27,388.430859,2018-01-13,23
190.19002,28,388.430875,2017-05-22,29
231.86998,21,389.167701,2018-01-04,2
256.17334,29,389.167862,2017-07-12,19
181.10999,44,390.016724,2017-09-14,20
193.74667,27,390.951114,2018-01-06,17
218.74666,31,390.951205,2018-07-11,25
219.46333,32,391.776995,2018-03-09,1
223.12997,35,392.804702,2018-08-17,8
166.91333,37,393.54016,2018-01-18,10
171.02332,48,393.540251,2017-09-05,16
219.95999,26,394.394996,2017-08-19,11
155.01668,30,396.327127,2018-05-27,5
212.74997,27,396.327251,2017-06-27,22
184.11,28,396.327268,2018-04-27,28
186.29666,23,399.450057,2017-11-19,31
244.1533,43,401.211412,2017-08-28,15
230.55666,24,402.300822,2018-05-29,0
212.76334,27,402.300919,2018-05-31,3
177.5733,39,402.300935,2017-06-18,26
148.91331,22,403.141295,2018-03-29,4
145.23666,24,403.856363,2017-12-02,14
162.25333,43,405.382372,2018-08-26,13
215.92337,33,406.777026,2017-06-04,12
200.06667,25,406.777153,2017-10-07,23
217.42662,34,406.777185,2018-07-08,30
197.05666,37,407.494384,2017-11-02,9
147.20999,48,408.375652,2017-08-28,18
219.23665,24,408.375749,2018-03-29,25
209.49332,27,408.375765,2018-06-09,29
174.61331,37,408.965073,2017-11-03,21
160.50998,19,409.91587,2017-07-26,5
229.04665,35,409.915984,2018-07-06,7
230.54999,26,409.916002,2017-07-27,17
181.16002,47,410.706575,2018-04-18,24
152.11668,47,411.413933,2017-09-05,27
168.3067,33,412.910408,2018-07-28,6
203.09666,27,412.910497,2017-06-07,10
219.58664,30,413.842269,2018-06-09,1
206.29333,31,416.36621,2018-08-24,11
204.68,29,417.219693,2017-07-27,22
221.77335,24,417.219811,2018-03-20,31
226.22334,39,418.242124,2018-03-22,19
115.67002,41,419.587185,2017-09-08,2
211.76665,41,420.315575,2018-01-22,20
97.45332,24,420.964488,2018-02-24,4
167.37334,45,424.891636,2018-08-27,8
138.42334,23,424.891755,2018-02-10,29
153.77666,27,426.403262,2017-06-21,12
177.23334,29,426.403357,2017-08-24,13
250.91331,33,426.403374,2018-08-21,26
204.72,21,427.532643,2017-10-08,10
207.68333,37,428.437032,2017-11-14,15
191.90332,49,428.437123,2018-01-29,16
200.7633,37,429.236968,2018-08-21,3
181.61002,23,429.237089,2017-12-27,6
221.54999,28,429.237109,2017-06-17,21
193.10664,39,430.67905,2017-08-29,0
206.33,31,430.67915,2018-03-14,18
256.49002,33,430.679174,2017-10-03,23
214.64665,48,430.679187,2017-09-13,28
235.69998,25,431.688321,2018-07-30,1
261.10333,28,431.688413,2018-01-21,27
197.32669,34,431.68843,2017-07-14,30
158.14333,31,433.043566,2017-11-13,24
223.35664,34,433.043662,2017-09-09,25
174.23666,33,433.868243,2018-06-16,7
161.14,34,434.662243,2017-08-17,5
166.67001,26,436.644527,2018-08-06,19
170.20337,29,437.459181,2017-06-26,11
229.05331,38,437.459274,2017-09-17,17
196.33336,47,438.444257,2018-01-31,14
183.50002,18,439.872902,2017-10-08,26
175.89333,29,441.202974,2017-12-01,20
208.48332,34,441.880526,2018-04-10,31
197.78668,48,442.813571,2017-11-01,9
240.02998,35,442.813664,2018-08-19,22
156.67334,33,443.521612,2018-01-22,2
135.53665,31,443.521702,2017-08-28,4
153.07332,21,444.69653,2017-11-22,21
184.88664,22,447.468055,2018-06-05,1
219.57668,26,448.277155,2017-12-23,3
148.08,21,449.212036,2018-04-02,7
185.68002,31,449.212152,2017-10-09,13
159.24998,25,449.21217,2018-05-31,28
237.95667,22,450.97778,2018-06-05,5
236.20667,24,450.977881,2017-10-28,24
251.94661,32,451.790836,2017-07-15,10
214.92665,31,451.790944,2018-08-15,16
162.53667,38,453.369247,2017-11-01,8
196.28331,30,453.369384,2018-03-28,18
227.9233,27,453.369403,2018-07-25,25
222.12668,38,453.369416,2017-10-24,29
163.03667,37,454.134336,2017-12-20,12
181.69666,32,454.938615,2018-05-16,0
178.02002,25,455.667459,2018-02-12,19
142.80666,34,456.457115,2018-07-06,23
220.20999,37,457.453418,2018-03-02,6
203.03996,34,457.453543,2017-12-01,30
229.49663,27,458.332471,2018-03-12,11
205.5333,20,459.098888,2017-07-20,4
213.68665,28,459.751732,2018-03-17,14
189.66335,24,460.443821,2017-07-11,31
247.56332,44,461.807005,2017-09-28,15
233.65997,30,462.695616,2018-08-08,26
210.39334,41,462.695708,2018-04-18,27
213.02,30,464.223892,2018-02-02,20
192.98332,30,465.766756,2018-02-22,22
170.62004,22,466.773969,2018-07-04,13
240.43666,30,467.950935,2017-11-04,21
178.34668,26,468.73419,2018-03-20,3
204.02666,41,468.734283,2018-03-07,17
127.536674,21,469.475371,2018-05-05,8
153.81998,26,470.865325,2018-08-01,5
266.8567,23,471.539444,2017-07-23,12
173.02667,40,473.06714,2018-07-07,9
155.8167,28,473.067228,2018-07-26,10
191.59,29,473.067244,2018-05-03,24
224.30998,32,473.846645,2017-09-28,28
206.98999,36,476.545592,2018-07-13,7
187.0,22,476.545708,2018-04-05,31
209.04001,30,477.467338,2017-10-20,0
154.87334,32,477.467428,2018-08-16,18
173.78001,29,477.467445,2017-10-16,19
180.21002,20,477.467457,2017-11-19,26
208.54668,28,478.983251,2018-05-03,11
212.36,20,478.983385,2018-06-20,20
220.37335,30,478.983424,2017-06-17,23
229.98332,34,478.98345,2017-06-04,29
196.60666,29,478.983464,2018-07-06,30
190.18001,16,479.636202,2017-10-21,21
174.96329,43,480.355089,2018-08-24,1
